host_response_time,host_listings_count,host_has_profile_pic,neighbourhood,property_type,room_type,accommodates,square_feet,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,amenities_count,amenities_premium_count,professionalism
within an hour,24.0,t,Eixample,Serviced apartment,Entire home/apt,3,,74,31,96,0,,26,3,0.65
within an hour,5.0,t,Sant Martí,Apartment,Private room,1,,39,5,339,2,100.0,29,9,0.85
within a day,27.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,69,32,318,0,,11,1,0.825
within a few hours,1.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,100,7,16,8,74.0,12,1,0.3375
within a few hours,4.0,t,Sarrià-Sant Gervasi,Apartment,Private room,2,,50,7,191,0,,11,1,0.5875
within an hour,16.0,t,Ciutat Vella,Loft,Entire home/apt,4,,100,32,204,1,20.0,18,1,0.8500000000000001
within a few hours,2.0,t,Sant Andreu,Apartment,Private room,2,,25,1,67,1,,9,1,0.48750000000000004
within a few hours,2.0,t,Eixample,Apartment,Entire home/apt,4,,158,3,297,176,96.0,37,3,0.6875
within an hour,12.0,t,Eixample,Apartment,Entire home/apt,6,,179,3,122,49,96.0,35,2,0.75
within an hour,39.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,70,3,162,0,,11,1,0.75
within an hour,206.0,t,Eixample,Apartment,Entire home/apt,5,,350,3,309,28,91.0,21,2,1.0
within a day,37.0,t,Sant Martí,Apartment,Entire home/apt,5,,85,32,7,0,,33,9,0.42500000000000004
within a day,12.0,t,Eixample,Apartment,Entire home/apt,2,,53,90,286,0,,19,1,0.7250000000000001
within an hour,3.0,t,Sarrià-Sant Gervasi,House,Private room,1,,42,3,348,31,97.0,13,3,0.85
within an hour,1.0,t,Eixample,Apartment,Private room,2,,40,2,117,62,98.0,44,15,0.6
within an hour,2.0,t,Eixample,Apartment,Private room,3,,99,1,86,170,92.0,19,2,0.55
within an hour,22.0,t,Eixample,Apartment,Entire home/apt,4,,100,2,55,60,78.0,12,1,0.65
,1.0,t,Gràcia,Apartment,Private room,2,,55,6,190,0,,8,1,0.35
within a day,29.0,t,Gràcia,Serviced apartment,Entire home/apt,3,,36,31,0,0,,20,1,0.42500000000000004
within a few hours,0.0,t,Gràcia,Apartment,Entire home/apt,4,,35,31,85,0,,11,1,0.3875
